"url","product_name","product_rating","product_rating_object","product_rating_max","rating","author_name","asin","product_rating_count","review_header","review_id","review_text","author_id","author_link","badge","brand","review_posted_date","review_country","review_images","helpful_count","keyword","is_amazon_vine","is_verified","variant_asin","variant_name","videos"
"https://www.amazon.com/product-reviews/B00009RDIF?ie=UTF8&reviewerType=all_reviews&pageNumber=96","Panasonic Stereo Headphones with XBS Port, Integrated Volume Controller and Lightweight Foldable Design – RP-HT227-K – Over the Ear Headphones (Black & Silver)",4.3,"{""five_star"":17192,""four_star"":4954,""one_star"":1614,""three_star"":2747,""two_star"":1225}",5,4,"Yar***10","B00009RDIF",27732,"Good Sound but Flimsy","R1GPTGAJ1J5DAM","I just got these headphones today, and they were a great deal on cyber Monday. They get 4 stars because the sound is really good for the price. Nice bass sound and good for canceling out my noisy office during lunch time.~Pros~-Good sound-long cord~Cons~Flimsy construction (they may break with lots of use, I'm only using during lunch at work and handling gently)Tight on my head (I have a larger head and they are a bit of a pinch)Overall I think they will work great, and I would recommend them for someone in a similar situation as me. I will update this if my thoughts change or it breaks.","AH3ACGYCZI67CSTIUJXTXOTWEGZA","https://www.amazon.com//gp/profile/amzn1.account.AH3ACGYCZI67CSTIUJXTXOTWEGZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Verified Purchase","Panasonic","November 28, 2012","United States",[],0,,,,,,
"https://www.amazon.com/Headphones-Microphone-Compatible-Computers-Interface/dp/B08MC6PLT4/ref=sr_1_190?keywords=headphones&qid=1676645331&sr=8-190","Earbuds Headphones 5 in One Pack, Wired Earbud with Heavy Bass Stereo Noise Blocking, Microphone, Compatible with iPhone, Android Phones, Laptops, Computers, iPad or Any Device with 3.5mm Interface…",4.1,"{""five_star"":3824,""four_star"":1128,""one_star"":433,""three_star"":598,""two_star"":310}",5,5,"Cliente ** A****n","B08MC6PLT4",6293,"Like it","R6YFR0228ND5P","Is very difficult to find one that fit to my ear, this are perfect. Thank you.","AEDO2E3OYOMOSZ4JU4W5NZPHQLIQ","https://www.amazon.com//gp/profile/amzn1.account.AEDO2E3OYOMOSZ4JU4W5NZPHQLIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Verified Purchase","HUOMU","February 20, 2021","United States",,0,,,,,,
"https://www.amazon.com/product-reviews/B085296FLT?ie=UTF8&reviewerType=all_reviews&pageNumber=277","Beats Studio3 Wireless Noise Cancelling Over-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 22 Hours of Listening Time, Built-in Microphone - Matte Black (Latest Model)",4.7,"{""five_star"":25725,""four_star"":2832,""one_star"":863,""three_star"":928,""two_star"":399}",5,5,"Client d******n","B085296FLT",30745,"Very nice","R3R7AH4XSDKJMG","allgood",,,"Verified Purchase","Beats","February 12, 2022","Canada",[],0,,,,,,
"https://www.amazon.com/product-reviews/B09JL41N9C?ie=UTF8&reviewerType=all_reviews&pageNumber=131","Beats Fit Pro - True Wireless Noise Cancelling Earbuds - Apple H1 Headphone Chip, Compatible with Apple & Android, Class 1 Bluetooth®, Built-in Microphone, 6 Hours of Listening Time – Beats Black",4.5,"{""five_star"":13646,""four_star"":2307,""one_star"":812,""three_star"":1022,""two_star"":531}",5,5,"******","B09JL41N9C",18318,"The best wireless headphones!","R3PGDONRQTWRP8","I have had others and this one by far is the best one. I love the sound and all it does overall! I am happy with this headphones and love the pink color also!","AGZ2CGOPUPZPK23ATQY53IKFFAQA","https://www.amazon.com//gp/profile/amzn1.account.AGZ2CGOPUPZPK23ATQY53IKFFAQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Verified Purchase","Beats","June 16, 2022","United States",[],0,,,,,,
"https://www.amazon.com/product-reviews/B08G1XKY6N?ie=UTF8&reviewerType=all_reviews&pageNumber=42","Skullcandy Hesh ANC Wireless Over-Ear Noise Cancelling Bluetooth Headphones for iPhone and Android with Microphone / 22 Hour Battery Life / Best for Music, School, Workouts, Travel, and Gaming - White",4.5,"{""five_star"":3887,""four_star"":830,""one_star"":188,""three_star"":277,""two_star"":118}",5,5,"La. S***e","B08G1XKY6N",5300,"Good Replacement","R22CX0NHXUYF0Z","Love the sound and an adjustment to wireless for me.","AHNZKKY45ATOGFVIYETEHV3QTKWA","https://www.amazon.com//gp/profile/amzn1.account.AHNZKKY45ATOGFVIYETEHV3QTKWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Verified Purchase","Skullcandy","April 18, 2021","United States",[],0,,,,,,
"https://www.amazon.com/Beats-Studio-Cancelling-Earbuds-Built-Bluetooth-Headphones/dp/B096SSCV5K/ref=sr_1_9?keywords=headphones&qid=1676645320&sr=8-9","Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones Red",4.4,"{""five_star"":40384,""four_star"":7711,""one_star"":3741,""three_star"":4115,""two_star"":2167}",5,1,"Irf***fri***","B096SSCV5K",58117,"Don’t buy it the case battery life is less then 24hrs","R3DS4XQDOEPJSC","The sounds is not what I was expecting pulse the battery life is not that great","AHRL6D3BTUPMUGQFH766J6B66QWA","https://www.amazon.com//gp/profile/amzn1.account.AHRL6D3BTUPMUGQFH766J6B66QWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Verified Purchase","Beats","December 5, 2022","United States",,0,,,,,,
"https://www.amazon.com/Sony-MDREX15LP-Earbud-Headphones-Number/dp/B00Q6P4CMA/ref=sr_1_18?keywords=headphones&qid=1676645338&sr=8-18","Sony MDREX15LP in-Ear Earbud Headphones, Black, Model Number: MDREX15LP/B",4.3,"{""five_star"":19025,""four_star"":5301,""one_star"":1830,""three_star"":2584,""two_star"":1098}",5,1,"******","B00Q6P4CMA",29838,"Crap!","R2QX8PUUV1N2A2","I've got about 6-8 different ear buds and these are the first 'brand name' ones I got. They are also the worst sounding thing I own. Tinny, nothing from mid to lower tones. Low volume as you can't turn them up anymore. The paper work wants to get you to download an app to control the buds... why does everything want you to install an app?!? You shouldn't need an app for stupid ear buds. These can't be real sony brand, or something is wrong. Did I mention they sound like a tin can? Total crap! And why does everything say 'noise canceling'? I've not used these for calls but I don't understand how these can be noise canceling.","AHPP5ZXJMGVQUZXUIJNEKFA3RRSA","https://www.amazon.com//gp/profile/amzn1.account.AHPP5ZXJMGVQUZXUIJNEKFA3RRSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Verified Purchase","Sony","December 11, 2022","United States",[],0,,,,,,
"https://www.amazon.com/wired-headphones-computer-laptop-wire-ear-noise/dp/B087JVV8FK/ref=sr_1_82?keywords=headphones&qid=1676645332&sr=8-82","Artix CL750 Wired Headphones with Mic – On-Ear Headphones, Wire Headphones, Laptop Headphones, Computer Headphones, Corded Headphones, Kids Headphones Wired, Noise Cancelling Headphones Over Ear 3.5mm",4.4,"{""five_star"":8908,""four_star"":2267,""one_star"":654,""three_star"":1040,""two_star"":392}",5,1,"Jaime B**o","B087JVV8FK",13261,"Didn't last an hour!","RGPE9HJJD4RU7","My daughter used it for less than hour and the sound went on it. Don't waste your money and time to return it. Disappointing as they look really nice.",,"https://www.amazon.com/undefined","Verified Purchase","ARTIX","September 23, 2022","Canada",[],1,,,,,,
"https://www.amazon.com/Wireless-Bluetooth-Headphones-Earphones-BMANI-VEAT00L/dp/B09CPDSNQM/ref=sr_1_86?keywords=headphones&qid=1676645332&sr=8-86","bmanl Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black BMANI-VEAT00L",4.5,"{""five_star"":12826,""four_star"":2300,""one_star"":763,""three_star"":904,""two_star"":464}",5,5,"Amazon C******r","B09CPDSNQM",17257,"Great Product","R23XTTSM2TQBAK","The best bang for you buck","AFUTZH66QHSE3AFTWUCLHIIUHX4Q","https://www.amazon.com//gp/profile/amzn1.account.AFUTZH66QHSE3AFTWUCLHIIUHX4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Verified Purchase","bmanl","September 29, 2022","United States",[],0,,,,,,
"https://www.amazon.com/Skullcandy-Dime-True-Wireless-Earbud/dp/B08X1QWB9W/ref=sr_1_281?keywords=headphones&qid=1676645334&sr=8-281","Skullcandy Dime True Wireless In-Ear Bluetooth Earbuds Compatible with iPhone and Android / Charging Case and Microphone / Great for Gym, Sports, and Gaming, IPX4 Water Dust Resistant - Black",4.2,"{""five_star"":27795,""four_star"":8019,""one_star"":2892,""three_star"":3862,""two_star"":1709}",5,3,"******","B08X1QWB9W",44278,"Cheap option","R2759LHHRB9H8V","These are quite practical. Lightweight, easy to use and pair. However, they are too quiet for my taste. Also, they glitch the connection very y easily, both with Android and IPhone, so not the best of the best. If you are short on budget they are ok. If you can afford a bit more, then don't get these.",,"https://www.amazon.com/undefined","Verified Purchase","Skullcandy","February 22, 2022","Mexico",[],0,,,,,,
